filename,cluster_label
tess2018206045859-s0001-0000000025200252-0120-s_lc.fits,0
tess2018206045859-s0001-0000000053940519-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000053992729-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000055295028-0120-s_lc.fits,1
tess2018206045859-s0001-0000000055524055-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000055559135-0120-s_lc.fits,0
tess2018206045859-s0001-0000000055664116-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000061454861-0120-s_lc.fits,0
tess2018206045859-s0001-0000000071334105-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000079225710-0120-s_lc.fits,0
tess2018206045859-s0001-0000000079425183-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000091448148-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000097433004-0120-s_lc.fits,0
tess2018206045859-s0001-0000000099646802-0120-s_lc.fits,1
tess2018206045859-s0001-0000000115115136-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000139207681-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000139679488-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000140039144-0120-s_lc.fits,0
tess2018206045859-s0001-0000000141153472-0120-s_lc.fits,1
tess2018206045859-s0001-0000000144457947-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000144462697-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000150166091-0120-s_lc.fits,0
tess2018206045859-s0001-0000000159734479-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000160037571-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000160070294-0120-s_lc.fits,1
tess2018206045859-s0001-0000000161270578-0120-s_lc.fits,1
tess2018206045859-s0001-0000000167549377-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000167720056-0120-s_lc.fits,1
tess2018206045859-s0001-0000000167793961-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000177079606-0120-s_lc.fits,0
tess2018206045859-s0001-0000000177116244-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000180412528-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000181233908-0120-s_lc.fits,0
tess2018206045859-s0001-0000000204543521-0120-s_lc.fits,0
tess2018206045859-s0001-0000000206460831-0120-s_lc.fits,0
tess2018206045859-s0001-0000000206500312-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000212262393-0120-s_lc.fits,0
tess2018206045859-s0001-0000000212295272-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000214198381-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000220526765-0120-s_lc.fits,0
tess2018206045859-s0001-0000000229807000-0120-s_lc.fits,1
tess2018206045859-s0001-0000000231269344-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000231631884-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000231665881-0120-s_lc.fits,1
tess2018206045859-s0001-0000000231708319-0120-s_lc.fits,1
tess2018206045859-s0001-0000000231712886-0120-s_lc.fits,1
tess2018206045859-s0001-0000000231739745-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000231841600-0120-s_lc.fits,1
tess2018206045859-s0001-0000000232083010-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000234285392-0120-s_lc.fits,-1
tess2018206045859-s0001-0000000234518605-0120-s_lc.fits,-1
